Geographical Name,Generic Term,Latitude,Longitude,Province - Territory
Abbotsford,City,49.052222,-122.329167,British Columbia
Airdrie,City,51.2922222,-114.0141667,Alberta
Armstrong,City,50.448333,-119.196667,British Columbia
Barrie,City,44.37124,-79.67697,Ontario
Bathurst,City,47.626111,-65.628333,New Brunswick
Beaumont,City,53.3525,-113.4152778,Alberta
Belleville,City,44.2566666,-77.3697222,Ontario
Brampton,City,43.6883334,-79.7608333,Ontario
Brandon,City,49.846944,-99.952222,Manitoba
Brantford,City,43.1569444,-80.2575,Ontario
Brockville,City,44.59733,-75.6855,Ontario
Brooks,City,50.567222,-111.895,Alberta
Burlington,City,43.37006,-79.81403,Ontario
Burnaby,City,49.242778,-122.972778,British Columbia
Calgary,City,51.0458333,-114.0574999,Alberta
Cambridge,City,43.397222,-80.311389,Ontario
Campbell River,City,50.023056,-125.243611,British Columbia
Campbellton,City,47.999336,-66.683511,New Brunswick
Camrose,City,53.0247222,-112.8241667,Alberta
Castlegar,City,49.324444,-117.666944,British Columbia
Charlottetown,City,46.240278,-63.134722,Prince Edward Island
Chatham-Kent,City,42.43396,-82.12876,Ontario
Chilliwack,City,49.157778,-121.950833,British Columbia
City of West Kelowna,City,49.83,-119.628611,British Columbia
Clarence-Rockland,City,45.48809,-75.21489,Ontario
Cold Lake,City,54.45,-110.1666667,Alberta
Colwood,City,48.423611,-123.493333,British Columbia
Coquitlam,City,49.284167,-122.793611,British Columbia
Corner Brook,City,48.941111,-57.970278,Newfoundland and Labrador
Cornwall,City,45.0263889,-74.7263889,Ontario
County of Brant,City,43.1391667,-80.2813889,Ontario
Courtenay,City,49.689444,-124.995833,British Columbia
Cranbrook,City,49.508056,-115.746944,British Columbia
Dauphin,City,51.149444,-100.04944,Manitoba
Dawson Creek,City,55.760556,-120.235556,British Columbia
Delta,City,49.084722,-123.058611,British Columbia
Dieppe,City,46.078333,-64.688611,New Brunswick
Dryden,City,49.7833333,-92.7652777,Ontario
Duncan,City,48.778611,-123.708056,British Columbia
Edmonton,City,53.5344445,-113.4902778,Alberta
Edmundston,City,47.377222,-68.294444,New Brunswick
Elliot Lake,City,46.3811111,-82.6572222,Ontario
Enderby,City,50.550556,-119.139444,British Columbia
Estevan,City,49.1392833,-102.9859847,Saskatchewan
Fernie,City,49.504167,-115.062778,British Columbia
Flin Flon,City,54.768056,-101.8641699,Manitoba
Fort Saskatchewan,City,53.7111111,-113.2177778,Alberta
Fort St. John,City,56.2525,-120.846667,British Columbia
Fredericton,City,45.945278,-66.666667,New Brunswick
Grand Forks,City,49.031111,-118.439167,British Columbia
Grand Sudbury,City,46.57789,-81.06958,Ontario
Grande Prairie,City,55.1708334,-118.7961111,Alberta
Greater Sudbury,City,46.57789,-81.06958,Ontario
Greenwood,City,49.088333,-118.676389,British Columbia
Guelph,City,43.53571,-80.229,Ontario
Hamilton,City,43.242778,-79.989444,Ontario
Humboldt,City,52.2019155,-105.1229806,Saskatchewan
Iqaluit,City,63.75,-68.516667,Nunavut
Kamloops,City,50.675833,-120.339444,British Columbia
Kawartha Lakes,City,44.58758,-78.8321,Ontario
Kelowna,City,49.888056,-119.495556,British Columbia
Kenora,City,49.8161111,-94.435,Ontario
Kimberley,City,49.685,-115.981667,British Columbia
Kingston,City,44.3066667,-76.4163888,Ontario
Kitchener,City,43.4186111,-80.4727778,Ontario
Lacombe,City,52.464444,-113.734167,Alberta
Lambton Shores,City,43.17534,-81.89542,Ontario
Langford,City,48.449722,-123.504444,British Columbia
Langley,City,49.1025,-122.658056,British Columbia
Leduc,City,53.2666666,-113.5458333,Alberta
Lethbridge,City,49.6936111,-112.8419444,Alberta
Lloydminster,City,53.2779556,-109.9802528,Saskatchewan
Lloydminster,City,53.2838889,-110,Alberta
London,City,42.9675,-81.2325,Ontario
Maple Ridge,City,49.22,-122.598889,British Columbia
Martensville,City,52.2919249,-106.6524122,Saskatchewan
Meadow Lake,City,54.1241055,-108.4359051,Saskatchewan
Medicine Hat,City,50.0408334,-110.6766667,Alberta
Melfort,City,52.8563361,-104.6099722,Saskatchewan
Melville,City,50.9304306,-102.8078417,Saskatchewan
Merritt,City,50.1125,-120.788333,British Columbia
Miramichi,City,47.004167,-65.466667,New Brunswick
Mississauga,City,43.58566,-79.65711,Ontario
Moncton,City,46.099479,-64.799802,New Brunswick
Moose Jaw,City,50.3934194,-105.5519522,Saskatchewan
Mount Pearl,City,47.5195306,-52.8118056,Newfoundland and Labrador
Nanaimo,City,49.163889,-123.938056,British Columbia
Nelson,City,49.493333,-117.295833,British Columbia
New Westminster,City,49.206667,-122.910556,British Columbia
Niagara Falls,City,43.06012,-79.10671,Ontario
North Battleford,City,52.7574361,-108.2861667,Saskatchewan
North Bay,City,46.314444,-79.459167,Ontario
North Vancouver,City,49.320556,-123.073889,British Columbia
Orillia,City,44.6043,-79.42392,Ontario
Oshawa,City,43.9005555,-78.8572222,Ontario
Ottawa,City,45.33339,-75.58429,Ontario
Owen Sound,City,44.56981,-80.93067,Ontario
Parksville,City,49.318056,-124.311389,British Columbia
Pembroke,City,45.8205556,-77.1111111,Ontario
Penticton,City,49.500833,-119.593889,British Columbia
Peterborough,City,44.3011111,-78.3333334,Ontario
Pitt Meadows,City,49.220556,-122.690278,British Columbia
Port Alberni,City,49.234444,-124.805833,British Columbia
Port Colborne,City,42.9155556,-79.1930555,Ontario
Port Coquitlam,City,49.261944,-122.780278,British Columbia
Port Moody,City,49.282222,-122.829444,British Columbia
Portage la Prairie,City,49.972778,-98.291944,Manitoba
Powell River,City,49.835556,-124.524444,British Columbia
Prince Albert,City,53.199517,-105.760094,Saskatchewan
Prince Edward,City,44.0230555,-77.2558334,Ontario
Prince George,City,53.913056,-122.745278,British Columbia
Prince Rupert,City,54.312778,-130.325278,British Columbia
Quesnel,City,52.979722,-122.493611,British Columbia
Quinte West,City,44.1963888,-77.5819445,Ontario
Red Deer,City,52.2686111,-113.8102778,Alberta
Regina,City,50.4548389,-104.6066083,Saskatchewan
Revelstoke,City,50.998889,-118.195833,British Columbia
Richmond,City,49.163333,-123.163333,British Columbia
Rossland,City,49.076944,-117.802222,British Columbia
Saint John,City,45.259167,-66.038889,New Brunswick
Salmon Arm,City,50.701389,-119.278056,British Columbia
Sarnia,City,42.9813889,-82.3177777,Ontario
Saskatoon,City,52.13965,-106.6861833,Saskatchewan
Sault Ste. Marie,City,46.558889,-84.346944,Ontario
Selkirk,City,50.143611,-96.883889,Manitoba
Spruce Grove,City,53.5538889,-113.9022222,Alberta
St. Albert,City,53.6369444,-113.6202778,Alberta
St. Catharines,City,43.16544,-79.2533,Ontario
St. John's,City,47.482197,-52.797069,Newfoundland and Labrador
St. Thomas,City,42.7808333,-81.1855555,Ontario
Steinbach,City,49.525833,-96.683889,Manitoba
Stratford,City,43.3725,-80.9763889,Ontario
Summerside,City,46.395833,-63.788889,Prince Edward Island
Surrey,City,49.111667,-122.8275,British Columbia
Swift Current,City,50.2881611,-107.7938944,Saskatchewan
Temiskaming Shores,City,47.4936111,-79.7152778,Ontario
Terrace,City,54.516389,-128.599722,British Columbia
Thompson,City,55.743333,-97.855278,Manitoba
Thorold,City,43.0722222,-79.2233333,Ontario
Thunder Bay,City,48.4013889,-89.2677778,Ontario
Timmins,City,48.47153,-81.33132,Ontario
Toronto,City,43.7417,-79.3733,Ontario
Trail,City,49.094444,-117.709167,British Columbia
Vancouver,City,49.261111,-123.113889,British Columbia
Vaughan,City,43.85281,-79.5354,Ontario
Vernon,City,50.266667,-119.271667,British Columbia
Victoria,City,48.428333,-123.364722,British Columbia
Warman,City,52.3220721,-106.5841825,Saskatchewan
Waterloo,City,43.4797222,-80.5411111,Ontario
Welland,City,42.99712,-79.22497,Ontario
Wetaskiwin,City,52.9691667,-113.3769444,Alberta
Weyburn,City,49.6609833,-103.8526306,Saskatchewan
White Rock,City,49.023611,-122.798333,British Columbia
Whitehorse,City,60.7242144,-135.0560981,Yukon
Williams Lake,City,52.129167,-122.14,British Columbia
Windsor,City,42.30227,-82.99348,Ontario
Winkler,City,49.181667,-97.940278,Manitoba
Winnipeg,City,49.884444,-97.146389,Manitoba
Woodstock,City,43.1372222,-80.7377778,Ontario
Yellowknife,City,62.4536,-114.37,Northwest Territories
Yorkton,City,51.213775,-102.4628806,Saskatchewan
Aberdeen,Town,52.325536,-106.291511,Saskatchewan
Acton Vale,Town,45.64786,-72.564786,Quebec
Admirals Beach,Town,47.0171497,-53.5989861,Newfoundland and Labrador
Ajax,Town,43.85821,-79.03635,Ontario
Alameda,Town,49.2681464,-102.2870583,Saskatchewan
Alberton,Town,46.812804,-64.065297,Prince Edward Island
Allan,Town,51.8958806,-106.0603667,Saskatchewan
Alma,Town,48.549702,-71.653425,Quebec
Altona,Town,49.104722,-97.558889,Manitoba
Amherst,Town,45.833392,-64.212968,Nova Scotia
Amherstburg,Town,42.1172222,-83.0441666,Ontario
Amos,Town,48.564766,-78.11275,Quebec
Amqui,Town,48.462375,-67.433232,Quebec
Anchor Point,Town,51.2389361,-56.7885527,Newfoundland and Labrador
Annapolis Royal,Town,44.743729,-65.518907,Nova Scotia
Antigonish,Town,45.622765,-61.991581,Nova Scotia
Appleton,Town,48.9817361,-54.8572361,Newfoundland and Labrador
Aquaforte,Town,47.0080555,-52.9563889,Newfoundland and Labrador
Arborfield,Town,53.1056694,-103.6607417,Saskatchewan
Arborg,Town,50.907222,-97.216944,Manitoba
Arcola,Town,49.6354522,-102.4919222,Saskatchewan
Arnold's Cove,Town,47.7689194,-53.9917694,Newfoundland and Labrador
Arnprior,Town,45.4347223,-76.3580556,Ontario
Asquith,Town,52.1347731,-107.2266111,Saskatchewan
Assiniboia,Town,49.6291139,-105.9886333,Saskatchewan
Athabasca,Town,54.7166666,-113.2841667,Alberta
Aurora,Town,43.99763,-79.46988,Ontario
Avondale,Town,47.3991028,-53.2264333,Newfoundland and Labrador
Aylmer,Town,42.78257,-80.98261,Ontario
Badger,Town,48.9788806,-56.0416916,Newfoundland and Labrador
Baie Verte,Town,49.9087083,-56.1946584,Newfoundland and Labrador
Baie-Comeau,Town,49.220927,-68.149305,Quebec
Baie-D'Urfé,Town,45.408405,-73.915377,Quebec
Baie-Saint-Paul,Town,47.440649,-70.509461,Quebec
Baine Harbour,Town,47.3659444,-54.8972055,Newfoundland and Labrador
Balcarres,Town,50.8049556,-103.54425,Saskatchewan
Balgonie,Town,50.4914583,-104.2629111,Saskatchewan
Bancroft,Town,45.055,-77.7577778,Ontario
Banff,Town,51.1777778,-115.5736111,Alberta
Barkmere,Town,46.002569,-74.573246,Quebec
Barrhead,Town,54.1216667,-114.4036111,Alberta
Bashaw,Town,52.5830555,-112.9702778,Alberta
Bassano,Town,50.7875,-112.4683333,Alberta
Battleford,Town,52.7384556,-108.3152528,Saskatchewan
Bauline,Town,47.7008305,-52.8195695,Newfoundland and Labrador
Bay Bulls,Town,47.3261583,-52.793875,Newfoundland and Labrador
Bay L'Argent,Town,47.542664,-54.886061,Newfoundland and Labrador
Bay Roberts,Town,47.5827278,-53.2932639,Newfoundland and Labrador
Bay de Verde,Town,48.1011611,-52.8895167,Newfoundland and Labrador
Baytona,Town,49.3305861,-54.7841194,Newfoundland and Labrador
Beachside,Town,49.6428889,-55.8991139,Newfoundland and Labrador
Beaconsfield,Town,45.42416,-73.866391,Quebec
Beauceville,Town,46.214655,-70.775943,Quebec
Beauharnois,Town,45.313216,-73.877952,Quebec
Beaupré,Town,47.041696,-70.899341,Quebec
Beausejour,Town,50.062222,-96.516111,Manitoba
Beaverlodge,Town,55.2091667,-119.4288889,Alberta
Bedford,Town,45.120924,-72.987621,Quebec
Bellburns,Town,50.3279667,-57.5284278,Newfoundland and Labrador
Belleoram,Town,47.524733,-55.416094,Newfoundland and Labrador
Belleterre,Town,47.389252,-78.703625,Quebec
Belœil,Town,45.567054,-73.202508,Quebec
Bengough,Town,49.3963611,-105.1283028,Saskatchewan
Beresford,Town,47.711011,-65.705958,New Brunswick
Berthierville,Town,46.083899,-73.175688,Quebec
Berwick,Town,45.045743,-64.736095,Nova Scotia
Bienfait,Town,49.1391556,-102.8014869,Saskatchewan
Big River,Town,53.8350981,-107.0330556,Saskatchewan
Biggar,Town,52.0634611,-107.979075,Saskatchewan
Birch Hills,Town,52.9840353,-105.4325194,Saskatchewan
Birchy Bay,Town,49.3215389,-54.7361083,Newfoundland and Labrador
Bird Cove,Town,51.0460695,-56.9334055,Newfoundland and Labrador
Birtle,Town,50.4225,-101.0475,Manitoba
Bishop's Cove,Town,47.6367556,-53.2327389,Newfoundland and Labrador
Bishop's Falls,Town,49.0209528,-55.4898944,Newfoundland and Labrador
Blackfalds,Town,52.3783333,-113.7961111,Alberta
Blaine Lake,Town,52.8283,-106.8814306,Saskatchewan
Blainville,Town,45.679627,-73.873874,Quebec
Blind River,Town,46.30227,-82.87795,Ontario
Blue Mountains,Town,44.4780556,-80.4013889,Ontario
Bluewater,Town,43.47673,-81.60291,Ontario
Bois-des-Filion,Town,45.669677,-73.755258,Quebec
Boisbriand,Town,45.612716,-73.838424,Quebec
Boissevain,Town,49.230556,-100.055,Manitoba
Bon Accord,Town,53.8369444,-113.4122222,Alberta
Bonaventure,Town,48.048946,-65.491191,Quebec
Bonavista,Town,48.6317917,-53.1041333,Newfoundland and Labrador
Bonnyville,Town,54.2672222,-110.7386111,Alberta
Borden-Carleton,Town,46.261667,-63.673889,Prince Edward Island
Botwood,Town,49.1356472,-55.3731528,Newfoundland and Labrador
Boucherville,Town,45.6044,-73.452336,Quebec
Bouctouche,Town,46.468333,-64.740278,New Brunswick
Bow Island,Town,49.8672222,-111.3788889,Alberta
Bowden,Town,51.9322222,-114.0347222,Alberta
Bracebridge,Town,45.0263889,-79.19,Ontario
Bradford West Gwillimbury,Town,44.13737,-79.61731,Ontario
Branch,Town,46.8822222,-53.9644445,Newfoundland and Labrador
Bredenbury,Town,50.9412528,-102.0440444,Saskatchewan
Brent's Cove,Town,49.9369444,-55.7069444,Newfoundland and Labrador
Bridgewater,Town,44.377498,-64.518605,Nova Scotia
Brighton,Town,44.1222222,-77.7641667,Ontario
Brighton,Town,49.5400695,-55.6432555,Newfoundland and Labrador
Brigus,Town,47.5329806,-53.2150917,Newfoundland and Labrador
Broadview,Town,50.3749722,-102.5772583,Saskatchewan
Bromont,Town,45.319074,-72.64591,Quebec
Brossard,Town,45.455263,-73.467793,Quebec
Brownsburg-Chatham,Town,45.67631,-74.408125,Quebec
Bruce Mines,Town,46.301,-83.79467,Ontario
Bruderheim,Town,53.7997222,-112.9283333,Alberta
Bruno,Town,52.2654556,-105.5248083,Saskatchewan
Bryant's Cove,Town,47.6760917,-53.1930222,Newfoundland and Labrador
Buchans,Town,48.8238,-56.8490694,Newfoundland and Labrador
Burgeo,Town,47.6199167,-57.6216334,Newfoundland and Labrador
Burin,Town,47.082841,-55.175272,Newfoundland and Labrador
Burlington,Town,49.7501528,-56.0174223,Newfoundland and Labrador
Burnt Islands,Town,47.6141944,-58.8701306,Newfoundland and Labrador
Burstall,Town,50.6556306,-109.9093722,Saskatchewan
Bécancour,Town,46.34808,-72.434546,Quebec
Cabri,Town,50.6218778,-108.4633056,Saskatchewan
Caledon,Town,43.86605,-79.85901,Ontario
Calmar,Town,53.2577778,-113.8108333,Alberta
Campbellton,Town,49.2705194,-54.9319306,Newfoundland and Labrador
Candiac,Town,45.394849,-73.519149,Quebec
Canmore,Town,51.0830555,-115.3683333,Alberta
Canora,Town,51.636375,-102.4310056,Saskatchewan
Cap-Chat,Town,49.096349,-66.687721,Quebec
Cap-Santé,Town,46.670074,-71.770463,Quebec
Cape Broyle,Town,47.0965195,-52.9414917,Newfoundland and Labrador
Cape St. George,Town,48.4957027,-59.1849305,Newfoundland and Labrador
Caraquet,Town,47.765556,-64.95,New Brunswick
Carberry,Town,49.868889,-99.359444,Manitoba
Carbonear,Town,47.7315028,-53.2326611,Newfoundland and Labrador
Cardston,Town,49.2,-113.3038889,Alberta
Carignan,Town,45.465741,-73.330307,Quebec
Carleton Place,Town,45.1380555,-76.1422222,Ontario
Carleton-sur-Mer,Town,48.101736,-66.121993,Quebec
Carlyle,Town,49.6353911,-102.2663556,Saskatchewan
Carman,Town,49.499167,-98.000833,Manitoba
Carmanville,Town,49.3673055,-54.2905694,Newfoundland and Labrador
Carnduff,Town,49.174925,-101.7973306,Saskatchewan
Carrot River,Town,53.2817028,-103.5856397,Saskatchewan
Carstairs,Town,51.5655555,-114.0994444,Alberta
Cartwright,Town,53.693779,-56.970056,Newfoundland and Labrador
Castor,Town,52.2191667,-111.9036111,Alberta
Causapscal,Town,48.354941,-67.221299,Quebec
Central Butte,Town,50.7975944,-106.506525,Saskatchewan
Centreville-Wareham-Trinity,Town,49.0000278,-53.9206694,Newfoundland and Labrador
Chambly,Town,45.449074,-73.291694,Quebec
Chance Cove,Town,47.6666472,-53.830925,Newfoundland and Labrador
Chandler,Town,48.348741,-64.678399,Quebec
Change Islands,Town,49.6689444,-54.4037223,Newfoundland and Labrador
Channel-Port aux Basques,Town,47.5955806,-59.1352917,Newfoundland and Labrador
Chapais,Town,49.781713,-74.853458,Quebec
Chapel Arm,Town,47.5049111,-53.6661916,Newfoundland and Labrador
Charlemagne,Town,45.721299,-73.486821,Quebec
Charlottetown,Town,52.7657222,-56.1453,Newfoundland and Labrador
Chestermere,Town,51.0333333,-113.8166667,Alberta
Chibougamau,Town,49.913227,-74.368532,Quebec
Choiceland,Town,53.4920361,-104.4869306,Saskatchewan
Churchbridge,Town,50.8948278,-101.8932528,Saskatchewan
Churchill,Town,58.780833,-94.186944,Manitoba
Château-Richer,Town,46.969552,-71.017749,Quebec
Châteauguay,Town,45.360927,-73.75018,Quebec
Clarenville,Town,48.1881389,-54.0557138,Newfoundland and Labrador
Claresholm,Town,50.0197222,-113.5827778,Alberta
Clark's Harbour,Town,43.442634,-65.629012,Nova Scotia
Clarke's Beach,Town,47.5320167,-53.303675,Newfoundland and Labrador
Clermont,Town,47.694358,-70.225549,Quebec
Coachman's Cove,Town,50.0681694,-56.1237305,Newfoundland and Labrador
Coaldale,Town,49.7277777,-112.6186111,Alberta
Coalhurst,Town,49.7486111,-112.9294444,Alberta
Coaticook,Town,45.134466,-71.8048,Quebec
Cobalt,Town,47.3991667,-79.6805556,Ontario
Cobourg,Town,43.9630555,-78.1647223,Ontario
Cochrane,Town,51.2066667,-114.4669444,Alberta
Cochrane,Town,49.1747223,-81.0630555,Ontario
Colinet,Town,47.2195306,-53.5480611,Newfoundland and Labrador
Colliers,Town,47.4503222,-53.2482889,Newfoundland and Labrador
Collingwood,Town,44.5014,-80.24071,Ontario
Colonsay,Town,51.9764889,-105.8722444,Saskatchewan
Come By Chance,Town,47.8415167,-53.9847806,Newfoundland and Labrador
Comfort Cove-Newstead,Town,49.3581556,-54.8758195,Newfoundland and Labrador
Comox,Town,49.672778,-124.927778,British Columbia
Conception Bay South,Town,47.4907778,-52.9951111,Newfoundland and Labrador
Conception Harbour,Town,47.438575,-53.2239,Newfoundland and Labrador
Conche,Town,50.8955084,-55.8866667,Newfoundland and Labrador
Contrecœur,Town,45.857261,-73.239074,Quebec
Cook's Harbour,Town,51.6078722,-55.863925,Newfoundland and Labrador
Cookshire-Eaton,Town,45.412986,-71.626124,Quebec
Cormack,Town,49.31595,-57.3833639,Newfoundland and Labrador
Cornwall,Town,46.226389,-63.219444,Prince Edward Island
Coronach,Town,49.1088389,-105.512175,Saskatchewan
Coronation,Town,52.0947223,-111.4477778,Alberta
Coteau-du-Lac,Town,45.291127,-74.173957,Quebec
Cottlesville,Town,49.495225,-54.8545583,Newfoundland and Labrador
Cow Head,Town,49.919725,-57.7694834,Newfoundland and Labrador
Cowansville,Town,45.2047,-72.74086,Quebec
Cox's Cove,Town,49.1119861,-58.0805139,Newfoundland and Labrador
Craik,Town,51.048799,-105.820067,Saskatchewan
Creighton,Town,54.75375,-101.898711,Saskatchewan
Creston,Town,49.0975,-116.513056,British Columbia
Crossfield,Town,51.4305556,-114.0308333,Alberta
Crow Head,Town,49.67985,-54.7998834,Newfoundland and Labrador
Crowsnest Pass,Town,49.5888889,-114.5083333,Alberta
Cudworth,Town,52.4901917,-105.7391278,Saskatchewan
Cupar,Town,50.9466583,-104.2109556,Saskatchewan
Cupids,Town,47.5478056,-53.2244889,Newfoundland and Labrador
Cut Knife,Town,52.7474694,-109.0158917,Saskatchewan
Côte-Saint-Luc,Town,45.477607,-73.663488,Quebec
Dalhousie,Town,48.048611,-66.390278,New Brunswick
Dalmeny,Town,52.3395639,-106.7714139,Saskatchewan
Daniel's Harbour,Town,50.2326473,-57.5818083,Newfoundland and Labrador
Danville,Town,45.782213,-72.0085,Quebec
Daveluyville,Town,46.205725,-72.138116,Quebec
Davidson,Town,51.2591611,-105.9859314,Saskatchewan
Dawson,Town,64.06,-139.431944,Yukon
Daysland,Town,52.8641666,-112.255,Alberta
Deep River,Town,46.0502777,-77.4177778,Ontario
Deer Lake,Town,49.194994,-57.3897,Newfoundland and Labrador
Delisle,Town,51.9216889,-107.1350019,Saskatchewan
Deloraine,Town,49.190833,-100.49389,Manitoba
Delson,Town,45.375591,-73.541791,Quebec
Desbiens,Town,48.418149,-71.950269,Quebec
Deseronto,Town,44.19657,-77.05095,Ontario
Deux-Montagnes,Town,45.54183,-73.89293,Quebec
Devon,Town,53.3622223,-113.7225,Alberta
Diamond Valley,Town,50.679862,-114.253577,Alberta
Didsbury,Town,51.6594444,-114.1375,Alberta
Digby,Town,44.620795,-65.758442,Nova Scotia
Disraeli,Town,45.902825,-71.357972,Quebec
Dolbeau-Mistassini,Town,48.87651,-72.225957,Quebec
Dollard-des-Ormeaux,Town,45.484252,-73.807738,Quebec
Donnacona,Town,46.672685,-71.737221,Quebec
